Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79
CDMD1095	32.98913043	43.15873016	36.05319149	50.27848101	53.30851064	62.3045977	107.8666667	78.91256831	78.42307692	104.9684211	73.86885246	43.38815789	81.37190083	91.60194175	43.58715596	66.91160221	30.44632768	53.352	41.87640449	25.68312757	49.92307692	48.80952381	33.45327103	38.93913043	44.4522293	36.99418605	45.50543478	45.70588235	95.35761589	66.73006135	46.79464286	58.68	80.45859873	87.47674419	44.66298343	66.69230769	45.75	83.19354839	57.91366906	37.81168831	24.1576087	47.65306122	41.84482759	35.42281879	24.81355932	75.69798658	78.31125828	44.74331551	86.2038835	111.6636364	101.7564103	99.13445378	71.07981221	50.73717949	33.21989529	84.38505747	83.89873418	27.45081967	56.94814815	62.43918919	26.375	33.98387097	74.01587302	44.36842105	24.92610837	73.91954023	60.94339623	54.48214286	41.99115044	41.2173913	32.6	62.17910448	51.46268657	26.45	51.23265306	67.16	63.45744681	63.24242424	0
CDMD1110	19.22463768	3.015873016	18.13829787	35.12658228	42.61702128	51.26436782	84.275	59.32786885	43.30769231	54.98947368	36.69398907	16.95394737	50.95867769	68.66019417	30.09174312	36.44751381	33.89830508	34.736	18.3258427	19.52263374	31.48901099	38.89115646	21.71495327	15.02608696	28.31847134	10.1744186	41.76630435	15.85294118	72.94039735	40.78527607	28.97321429	43.17714286	43.99363057	75.1627907	23.92265193	28.46153846	51.65697674	28.75	28.12230216	26.38311688	22.63586957	42.6122449	29.4137931	17.23489933	11.11864407	15.79194631	10.54966887	8.887700535	23	0	28.26068376	41.43697479	34.18309859	20.77564103	21.33507853	36.87931034	43.24683544	13.12295082	37.31851852	47.75	22.6875	20.51612903	55.68253968	26.10526316	19.37438424	42.96551724	40.71698113	30.22619048	26.36283186	20.14492754	22.475	35.71641791	40.82089552	22.4625	22.50204082	38.152	48.04255319	49.54545455	0
CDMD2001	18.94565217	43.57142857	65.23404255	45.24050633	145.0425532	119.3275862	94.39166667	135.3497268	26.22307692	153.5631579	167.1967213	43.94078947	66.16528926	45.16504854	93.83486239	119.6298343	70.15819209	70.856	23.62921348	78.56790123	75.78021978	95.83673469	40.85046729	94.30434783	16.07643312	118.255814	88.01630435	89.06617647	84.60927152	72.41104294	62.21428571	103.0342857	93.42675159	141.8313953	70.30939227	133.9692308	67.88953488	64.84677419	68.05755396	129.2597403	66.88043478	99.82653061	65.54597701	43.48322148	112.9322034	98.74496644	140.5364238	50.45989305	0	0	0	0	43.80751174	89.80128205	31.19895288	68.6091954	42.85443038	49.03278689	64.12962963	91.85810811	23.675	49.82258065	30.07936508	121.6842105	114.8423645	40.04597701	88.08176101	74.16666667	86.26548673	138.5507246	42.25	40.05970149	49.59701493	36.70625	45.60816327	69.16	50.88297872	48.09090909	4.69933432
CDMD2002	17.86594203	57.47619048	50.68085106	26.59493671	169.4042553	103.4137931	65.75	107.6010929	36.37692308	132.0421053	113.3934426	54.55921053	65.83471074	37.27184466	107.5504587	84.80662983	56.76836158	81.808	15.70786517	77.29218107	59.77472527	70.91156463	41.42056075	106.2173913	26.19745223	91.40697674	88.10869565	149.9632353	68.05298013	58.26380368	81.36607143	90.14857143	85.52866242	114.6395349	74.32596685	112.5923077	55.94767442	49.87903226	70.12230216	100.8506494	40.89130435	74.32142857	66.87931034	56.76510067	39.12429379	67.52348993	97.68211921	46.30481283	96.70873786	60.29090909	85.94871795	142.0588235	33.10798122	85.30769231	36.17277487	62.74712644	26.92405063	41.25409836	41.6	65.17567568	20.9	25.0483871	19.23809524	79.14473684	66.67980296	37.77011494	55.8490566	63.64880952	58.4159292	85.67391304	55.775	60.41791045	48.11940299	26.5625	32.58367347	49.328	42.45744681	67.03030303	5.079142012
CDMD2003	13.71014493	86.23809524	0	0	0	0	0	155.1803279	42.96923077	188.0947368	129.0491803	84.47368421	70.87603306	58.25242718	117.7247706	148.5524862	67.33333333	87.16	27.53932584	82.30041152	77.58241758	107.6938776	53.99065421	143.573913	35.55414013	137.5639535	107.423913	171.5955882	70.14569536	69.76687117	101.0714286	150.2914286	138.9681529	160.9476744	82.59116022	169.4769231	85.72093023	77.44354839	96.29496403	144.6493506	47.70652174	82.16326531	62.33333333	68.90604027	92.84180791	111.2348993	153.3311258	44.25668449	164.4271845	98.92727273	97.30769231	140.789916	45.83098592	95.10897436	55.16753927	78.37931034	64.00632911	79.83606557	55.25555556	87.31081081	32.8125	44.93548387	43.63492063	128.1184211	94.73891626	47.98850575	112.9245283	73.8452381	80.59292035	137.442029	54.075	87.19402985	50.92537313	35.40625	56.46122449	68.544	55.44680851	99.27272727	5.680473373
CDMD2004	20.54710145	61.84126984	76.73404255	51.44303797	128.606383	106.4367816	103.7833333	137.1311475	31.13076923	147.4105263	103.7322404	73.66447368	40	44.36893204	132.9908257	91.87292818	78.82485876	64.648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51.47651007	83.8700565	71.42281879	137.5165563	34.71122995	130.4368932	82.6	85.23931624	149.5798319	41.09389671	98.34615385	42.96858639	63.37931034	40.62658228	55.17213115	63.0037037	92.93918919	27.4	43.12903226	42.95238095	91.28947368	99.71428571	46.91954023	84.12578616	66.78571429	70.39823009	115.5869565	52.75	109.5671642	56.85074627	47.1125	42.60816327	77.056	38.19148936	99.48484848	5.338757396
CDMD2005	17.5326087	67.71428571	59.17021277	45.73417722	144.4361702	99.98275862	68.26666667	110.4863388	11.28461538	119.1210526	96.75409836	60.90789474	77.84297521	37.44660194	103.2293578	0	0	0	0	63.91358025	65.57142857	87.89795918	47.74766355	98.06086957	10.23566879	101.1627907	96.375	141.8308824	75.74834437	55.44171779	68.19642857	110.56	104.2292994	146.3430233	73.97237569	131.8692308	56.89534884	68.08870968	68.98561151	101.5779221	41.82065217	72.95918367	77.54022989	47.10067114	65.33898305	80.56375839	116.1721854	34.88235294	116.1456311	65.73636364	85.65811966	118.2352941	31.657277	92.18589744	31.2617801	71.59195402	39.99367089	48.1557377	48.2037037	51.97972973	27.95	37.08064516	34.20634921	81.55263158	66.15270936	29.4137931	72.08176101	51.39285714	70.42477876	100.5	42.775	51.80597015	47.23880597	23.70625	45.44897959	54.456	41.80851064	53.03030303	3.538831361
CDMD2007	22.07971014	54.20634921	101.3510638	44.35443038	164.787234	117.8850575	85.74166667	111.8797814	31.28461538	150.7736842	124.0382514	54.78289474	58.48760331	63.36893204	107.412844	103.2375691	75.03954802	80.072	34.03370787	80.59670782	60.52747253	125.9387755	64.53738318	130.5826087	15.99363057	129.005814	98.82608696	160.8161765	70.91390728	71.2392638	99.74107143	126.1142857	162.388535	174.9186047	83.27624309	128.4	67.13372093	65.94354839	91.33093525	124.5584416	45.35869565	97.1122449	84.01724138	53.45637584	107.9265537	76.58389262	119.0927152	41.28342246	133.5728155	94.33636364	107.7606838	164.4033613	50.84976526	108.9102564	44.17801047	64.15517241	34.62025316	48.04918033	60.45185185	81.80405405	48.3625	46.35483871	31.6984127	125.0657895	74.5320197	36.89655172	98.13836478	70.25	66.76106195	165.8768116	66.2	78.29850746	36.02985075	27.0375	72.21632653	60.808	56.38297872	58.57575758	6.473742604
CDMD2008	20.05797101	76.50793651	97.21276596	55.87341772	188.5319149	121.0632184	82.025	157.2076503	37.8	159.8684211	156.9453552	103.2697368	69.09917355	63.72815534	150.5688073	122.7237569	51.63276836	95.464	30.82022472	86.79835391	73.65934066	89.32653061	78.89252336	160.373913	24.8089172	151.377907	119	146.6838235	98.68211921	95.47852761	94.84821429	135.1028571	149.6305732	191.4418605	109.8232044	162.6692308	92.12790698	98.96774194	99.54676259	156.3766234	72.45108696	102.3316327	83.72988506	53.44295302	136.3276836	90.0738255	173.7417219	43.55080214	117.8058252	84.99090909	0	148.4453782	53.12206573	146.7884615	64.27225131	91.94827586	51.18987342	55.1147541	75.7037037	115.2837838	40.2625	30.98387097	35.98412698	133.4473684	88.21674877	48.17241379	116.5534591	81.75	98.61061947	157.2101449	78.675	93.79104478	75.92537313	33.7375	60.62040816	85.336	56.82978723	61.72727273	4.903476331
CDMD2009	12.88043478	39.50793651	70.9893617	30.69620253	148.0425532	88.44252874	91.60833333	106.4153005	31.20769231	126.8315789	103.5355191	57.43421053	50.96694215	50.90291262	104.293578	112.5524862	46.28248588	59.736	18.06741573	62.03292181	76.4010989	92.40136054	46.93925234	96.33913043	11.26751592	109.4825581	77.52717391	137.5808824	77.74834437	59.52760736	60.48214286	102.1028571	137.2866242	107.6453488	77.37016575	115.3307692	59.72093023	78.86290323	76.11510791	127.2402597	34.9076087	56.27040816	60.12068966	39.59731544	0	87.08724832	111.8410596	45.76470588	102.2038835	90.36363636	80.4017094	114.7142857	52.7370892	93.48076923	41.16753927	56.70114943	40.23417722	50.94262295	47.05555556	65.14864865	33.025	24.30645161	33.01587302	70.53947368	87.92610837	29.10344828	61.19496855	66.89880952	67.47787611	101	46.675	54.86567164	37.34328358	20.16875	45.21632653	55.888	48.95744681	39.06060606	4.644970414
CDMD2014	15.38043478	51.50793651	88.69148936	44.49367089	173.9042553	112.0574713	81.95833333	129.5846995	37.30769231	143.6789474	118.6174863	67.35526316	55.14876033	45.9223301	118.440367	117.5469613	63.31638418	62.144	31.16853933	72.69547325	64.91758242	143.7414966	49.60280374	147.9652174	16.47133758	121.0581395	104.375	142.8823529	80.70860927	71.93251534	85.19642857	128.3028571	154.3821656	175.8255814	73.85082873	159.9923077	73.81976744	74.41129032	83.3381295	163.3766234	45.80434783	85.24489796	82.68390805	40.73825503	0	0	0	0	0	0	0	0	0	0	62.56020942	51.53448276	46.38607595	42.86065574	55.37037037	103.5337838	48.5375	36.72580645	38.06349206	123.9210526	111.1871921	28.04597701	92.99371069	94.13095238	76.60176991	157.7173913	60.025	82.43283582	39.68656716	32.1375	58.74693878	96.632	50.35106383	46.09090909	5.574704142
